Date,Open,High,Low,Close,Adj Close,Volume
2020-05-15,533.483826,546.636902,529.459412,543.888489,537.077209,14758117
2020-05-18,546.636902,548.698181,525.336792,528.134277,521.520325,21991328
2020-05-19,548.207397,592.378113,546.735046,587.764709,580.403870,73259076
2020-05-20,593.850464,600.721436,577.752686,583.102234,575.799866,36412918
2020-05-21,579.617676,593.359680,574.611694,583.593018,576.284546,20673544
2020-05-22,585.997864,586.390503,576.182190,582.267944,574.976013,11630640
2020-05-26,561.458618,565.826599,547.274902,548.943604,542.069031,77933211
2020-05-27,550.661316,555.127502,543.643127,552.722656,545.800720,22948762
2020-05-28,554.244080,557.532349,545.753479,552.379089,545.461487,16574283
2020-05-29,547.716614,553.606018,533.778320,542.416138,535.623291,55206200
2020-06-01,548.698181,551.299377,540.011292,548.747253,541.875061,40024637
2020-06-02,552.624451,561.753113,545.851624,547.814758,540.954285,32573015
2020-06-03,557.532349,557.826782,539.127869,541.483643,534.702454,29783799
2020-06-04,542.121643,574.611694,539.422363,561.900330,554.863464,30007267
2020-06-05,573.237488,579.126892,556.992493,573.580994,566.397827,48771843
2020-06-08,577.163757,582.758728,568.525940,574.366272,567.173340,20813563
2020-06-09,569.311157,580.746460,555.274719,557.335999,550.356323,15219451
2020-06-10,560.477051,565.384888,552.673584,556.648926,549.677795,19489440
2020-06-11,559.495483,563.225464,536.624878,541.679932,534.896362,27803048
2020-06-12,530.048340,551.642883,530.048340,549.777893,542.892883,19224358
2020-06-15,545.753479,553.360657,538.882507,540.551147,533.781677,13838935
2020-06-16,547.716614,548.992676,527.103638,534.858032,528.159790,19430678
2020-06-17,536.772095,555.078430,531.029907,553.066162,546.139893,20916747
2020-06-18,553.851440,562.342041,547.912964,550.563171,543.668335,19692591
2020-06-19,551.544739,567.544373,550.661316,561.949402,554.911926,41924711
2020-06-22,565.188599,577.163757,559.888123,570.341858,563.199280,12954502
2020-06-23,570.341858,573.826416,563.765320,568.133301,561.018433,9944839
2020-06-24,570.292725,571.274353,544.771912,547.078613,540.227356,12619809
2020-06-25,543.692200,553.311584,539.864075,548.698181,541.826660,15881470
2020-06-26,549.679749,555.961792,546.882263,550.072388,543.183655,11317405
2020-06-29,548.600037,558.464844,541.041931,556.648926,549.677795,13162970
2020-06-30,561.458618,566.366455,547.127686,549.532532,542.650513,13182057
2020-07-01,564.403320,564.403320,548.011108,549.827026,542.941345,13894655
2020-07-02,554.391296,556.550781,547.323975,548.158325,541.293518,13795692
2020-07-03,551.446594,572.697632,550.268677,570.734436,563.586975,21005887
2020-07-06,576.771118,578.439819,564.452393,565.973816,558.885925,16114629
2020-07-07,568.329590,571.863281,555.618286,556.697998,549.726257,12759442
2020-07-08,561.458618,563.421753,548.698181,550.955811,544.056030,9581306
2020-07-09,553.606018,559.740845,549.974243,558.170349,551.180237,8611659
2020-07-10,558.612061,568.329590,555.225647,564.108826,557.044373,13532330
2020-07-13,563.912537,578.145325,559.495483,575.985840,568.772583,16660491
2020-07-14,573.728271,585.801575,567.887878,578.488892,571.244263,32935464
2020-07-15,578.096252,578.096252,549.336182,553.213440,546.285339,20062926
2020-07-16,555.471008,555.765503,543.103210,552.379089,545.461487,11528871
2020-07-17,552.722656,563.323608,551.397522,556.305359,549.338562,12189475
2020-07-20,560.477051,571.765137,557.139709,565.139526,558.062134,9789671
2020-07-21,569.311157,573.041138,555.912720,557.286926,550.307861,12005925
2020-07-22,557.532349,564.894104,552.428162,558.661133,551.664856,11034525
2020-07-23,559.495483,565.139526,553.606018,556.747070,549.774719,9718786
2020-07-24,554.587646,556.943359,545.164551,549.139893,542.262817,9960443
2020-07-27,547.912964,553.360657,534.121887,549.188965,542.311279,10895560
2020-07-28,548.207397,563.667175,545.066406,554.195007,547.254639,14210206
2020-07-29,554.833008,558.661133,549.925171,555.765503,548.805420,9979767
2020-07-30,565.384888,569.752869,533.042114,542.514282,535.720154,45326361
2020-07-31,540.747437,548.992676,536.232239,544.624695,537.804199,13917435
2020-08-03,544.281128,546.244263,536.330383,537.262878,530.534546,9392745
2020-08-04,537.900940,543.152344,535.790527,538.882507,532.133850,12035116
2020-08-05,541.827209,550.170532,536.477661,548.649109,541.778198,12920232
2020-08-06,551.348450,551.348450,542.465210,545.066406,540.173157,10620956
2020-08-07,545.753479,553.017090,541.876282,550.465027,545.523315,7346008
2020-08-10,553.900513,554.587646,544.575623,548.550964,543.626465,9594610
2020-08-11,547.716614,550.170532,540.060364,540.943787,536.087585,8290695
2020-08-12,539.864075,550.906738,535.299744,537.606445,532.780151,12613101
2020-08-13,524.158936,538.195374,514.588623,525.484009,520.766602,37464752
2020-08-14,532.845825,532.845825,515.324768,518.858459,514.200500,18550546
2020-08-17,520.772522,522.686584,508.551941,511.791107,507.196594,19369462
2020-08-18,512.429138,519.349243,510.564148,516.600830,511.963135,13771669
2020-08-19,519.251038,529.950195,517.386047,525.974792,521.252930,17395288
2020-08-20,521.214233,523.766296,513.067139,515.864624,511.233521,13690809
2020-08-21,520.036316,520.036316,506.490631,510.662323,506.077942,22244899
2020-08-24,508.355621,522.588379,498.834381,517.189758,512.546753,29714401
2020-08-25,524.649719,525.778503,516.306335,518.907532,514.249146,19881871
2020-08-26,518.662109,518.662109,502.564362,505.018280,500.484558,26386996
2020-08-27,504.920135,508.944580,498.638062,501.730011,497.225800,22268191
2020-08-28,502.662506,519.790955,502.662506,513.803345,509.190765,22217757
2020-08-31,508.944580,512.674561,499.177948,503.644073,499.122711,190329697
2020-09-01,507.962982,545.213623,504.723816,536.183167,531.369690,75732733
2020-09-02,539.864075,548.698181,535.054382,540.403931,535.552551,35680638
2020-09-03,540.403931,542.710632,525.778503,528.085205,523.344421,25084656
2020-09-04,521.705017,528.085205,509.926147,513.508850,508.898895,28610361
2020-09-07,515.324768,518.269470,500.895691,505.950775,501.408691,16450037
2020-09-08,506.490631,507.324982,484.896088,488.920532,484.531342,33745174
2020-09-09,484.159912,497.312958,482.049530,494.957184,490.513794,32068518
2020-09-10,498.638062,498.638062,482.147675,488.184326,483.801727,21400064
2020-09-11,490.098389,493.190338,479.546509,482.589386,478.257050,15888599
2020-09-14,486.859222,488.086182,459.669708,465.362823,461.185089,53032505
2020-09-15,466.393463,478.663086,461.387451,476.601807,472.323212,31436333
2020-09-16,478.025085,481.656891,471.693939,472.871826,468.626709,13379581
2020-09-17,471.154083,473.460785,465.264648,470.172516,465.951630,13750507
2020-09-18,474.098785,488.478821,466.540710,485.435944,481.078033,55830089
2020-09-21,486.859222,486.859222,452.749634,459.129822,455.008057,23162880
2020-09-22,459.866028,469.681732,452.504242,462.270874,458.120911,18950065
2020-09-23,458.393646,458.393646,416.087952,425.805511,421.982910,86810146
2020-09-24,417.413055,425.511017,408.480774,411.572723,407.877899,36458719
2020-09-25,417.167664,436.750031,414.370209,431.547699,427.673553,34232784
2020-09-28,437.780670,439.400269,426.050903,435.473969,431.564575,21445626
2020-09-29,435.817535,436.357391,421.584747,427.572327,423.733856,18187111
2020-09-30,429.928101,432.283875,410.443909,413.192322,409.482941,27686374
2020-10-01,418.149261,426.590759,415.842560,424.382233,420.572418,13593932
2020-10-05,424.382233,429.437317,415.204529,416.627808,412.887604,15282146
2020-10-06,419.130829,422.075531,415.302704,418.885437,415.124969,11078299
2020-10-07,419.916077,423.793274,413.339539,414.664673,410.942108,10393534
2020-10-08,418.149261,427.474182,411.376404,416.627808,412.887604,17018635
2020-10-09,420.112396,426.983398,415.498993,417.363983,413.617157,20948615
2020-10-12,420.112396,422.664459,404.260010,407.401031,403.743652,14326607
2020-10-13,413.388641,419.621613,405.486969,407.646423,403.986847,28303313
2020-10-14,408.726166,411.769043,403.720154,405.634216,401.992706,14374547
2020-10-15,405.781464,407.842743,387.720551,391.843140,388.325439,28378188
2020-10-16,396.996399,399.793884,391.008820,394.247986,390.708679,23786283
2020-10-19,396.112976,397.192719,386.738983,390.370789,386.866302,17237471
2020-10-20,390.370789,405.585144,389.634613,397.536255,393.967438,26395238
2020-10-21,398.223358,412.456146,396.112976,411.278259,407.586090,23929199
2020-10-22,411.278259,424.382233,410.296692,422.713562,418.918732,27014551
2020-10-23,426.885223,429.535461,419.425293,426.394440,422.566559,18512271
2020-10-26,426.345367,431.351379,420.112396,426.050903,422.226105,11956996
2020-10-27,426.050903,430.811523,419.621613,425.363800,421.545166,13021129
2020-10-28,437.780670,479.006653,433.854370,443.522858,439.541199,125905730
2020-10-29,439.449341,448.676117,436.799103,442.492218,438.519836,25537340
2020-10-30,446.516663,446.516663,422.566315,425.756409,421.934235,23483928
2020-11-02,426.983398,451.522675,426.983398,448.970581,444.940002,28703578
2020-11-03,449.559509,452.209747,439.203949,446.222168,442.216278,16337850
2020-11-04,444.651672,447.154663,438.909485,444.700745,440.708527,10191499
2020-11-05,448.577942,453.387634,444.259033,448.872406,444.842743,9407770
2020-11-06,448.577942,451.866211,440.479980,441.608795,437.644348,12195207
2020-11-09,447.890839,466.000824,444.209961,463.105194,458.947754,24953555
2020-11-10,465.264648,465.411896,456.430511,457.804718,453.694855,9800899
2020-11-11,459.326141,472.479187,455.498016,469.779877,465.562500,16032885
2020-11-12,468.062134,474.295105,466.295319,471.006836,466.778442,14785276
2020-11-13,468.209381,469.190948,461.338379,466.982391,462.790161,8428163
2020-11-14,478.025085,478.025085,470.172516,472.626434,468.383514,4014491
2020-11-17,481.853210,485.828583,472.381042,475.620239,471.350433,19050384
2020-11-18,475.031281,476.061951,462.418091,469.583557,465.367950,10504589
2020-11-19,467.227783,472.577362,458.393646,459.915100,455.786285,11541941
2020-11-20,461.829163,476.994415,456.774078,474.785889,470.523590,12090462
2020-11-23,477.779694,477.779694,466.344391,468.454773,464.249298,10193531
2020-11-24,469.583557,472.381042,462.516266,465.510040,461.330994,9346208
2020-11-25,467.718597,469.092773,450.197540,455.547089,451.457489,14497115
2020-11-26,460.062317,460.994812,451.620819,459.767853,455.640381,11535113
2020-11-27,459.669708,463.939545,453.485809,454.712769,450.630676,18491882
2020-12-01,459.129822,473.608002,452.013458,470.614227,466.389374,18534936
